Symbol,Underlying,Expiration Date,Option Side,Strike,First Traded,Days To Expiration,Date,Bid,Bid Size,Mid,Ask,Ask Size,Last,Open Interest,Volume,In The Money,Intrinsic Value,Extrinsic Value,Underlying Price
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/13/2022,29.75,75,30.3,30.85,41,30.52,1691,266,FALSE,0,30.3,142.99
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/14/2022,27.15,22,28.58,30,30,27.9,1757,103,FALSE,0,28.58,138.38
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/17/2022,29.35,5,30.18,31,33,30.2,1778,126,FALSE,0,30.18,142.41
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/18/2022,30.05,162,30.58,31.1,182,31.3,1759,241,FALSE,0,30.58,143.75
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/19/2022,30.5,37,31.42,32.35,101,30.9,1847,103,FALSE,0,31.42,143.86
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/20/2022,30.65,19,31,31.35,50,30.65,1873,490,FALSE,0,31,143.39
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/21/2022,33.4,15,33.58,33.75,15,33.8,2303,290,FALSE,0,33.58,147.27
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/24/2022,33,399,34.02,35.05,61,34.8,2483,121,FALSE,0,34.02,149.45
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/25/2022,36.1,1,36.6,37.1,69,36.3,2544,62,TRUE,2.34,34.26,152.34
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/26/2022,34.15,56,35.58,37,45,34.86,2554,197,FALSE,0,35.58,149.35
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/27/2022,30.3,3,31.9,33.5,1,31.7,2648,344,FALSE,0,31.9,144.8
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/28/2022,38.55,2,39.08,39.6,500,39.25,2874,277,TRUE,5.74,33.34,155.74
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,10/31/2022,36.75,13,37.33,37.9,2,37.5,2830,83,TRUE,3.34,33.99,153.34
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/1/2022,35.4,1,35.95,36.5,240,35.79,2898,244,TRUE,0.65,35.3,150.65
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/2/2022,32,3,32.35,32.7,80,32.04,2938,205,FALSE,0,32.35,145.03
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/3/2022,28.5,4,28.75,29,61,29,2962,321,FALSE,0,28.75,138.88
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/4/2022,26.05,1,28.28,30.5,10,27.9,3085,386,FALSE,0,28.28,138.38
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/7/2022,27.65,243,28.25,28.85,336,28.2,3124,312,FALSE,0,28.25,138.92
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/8/2022,28.05,136,28.5,28.95,62,28.9,2947,59,FALSE,0,28.5,139.5
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/9/2022,25.5,70,25.9,26.3,51,25.5,2926,438,FALSE,0,25.9,134.87
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/10/2022,32,45,33.5,35,47,32.5,3119,202,FALSE,0,33.5,146.87
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/11/2022,33.7,1,34.15,34.6,1,34.12,3179,119,FALSE,0,34.15,149.7
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/14/2022,32.85,141,33.35,33.85,146,33.6,3164,47,FALSE,0,33.35,148.28
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/15/2022,33.6,111,34.38,35.15,206,34.69,3161,101,TRUE,0.04,34.34,150.04
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/16/2022,33,30,33.78,34.55,52,33.52,3203,47,FALSE,0,33.78,148.79
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/17/2022,34.3,61,35.33,36.35,142,34.35,3180,4,TRUE,0.72,34.61,150.72
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/18/2022,34.7,129,35.38,36.05,127,35.72,3182,35,TRUE,1.29,34.09,151.29
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/21/2022,32.95,144,33.38,33.8,127,33.3,3192,84,FALSE,0,33.38,148.01
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/22/2022,33.9,183,34.45,35,36,34.45,3185,21,TRUE,0.18,34.27,150.18
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/23/2022,34.4,30,34.75,35.1,1,34.15,3192,518,TRUE,1.07,33.68,151.07
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/25/2022,32.75,129,33,33.25,210,32.94,3168,37,FALSE,0,33,148.11
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/28/2022,30.2,99,30.52,30.85,133,30.3,3185,105,FALSE,0,30.52,144.22
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/29/2022,28.2,103,28.6,29,2,28.62,3155,107,FALSE,0,28.6,141.17
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,11/30/2022,31.9,13,33.2,34.5,2,32.4,3230,92,FALSE,0,33.2,148.03
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/1/2022,32.5,1,32.85,33.2,80,32.9,3263,49,FALSE,0,32.85,148.31
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/2/2022,31.2,222,31.92,32.65,150,31.96,3242,46,FALSE,0,31.92,147.81
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/5/2022,31.3,32,31.65,32,1,31,3261,93,FALSE,0,31.65,146.63
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/6/2022,28.9,226,29.22,29.55,105,29.3,3266,123,FALSE,0,29.22,142.91
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/7/2022,27.55,25,28.08,28.6,69,27.73,3309,74,FALSE,0,28.08,140.94
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/8/2022,28.35,72,28.82,29.3,205,28.55,3300,16,FALSE,0,28.82,142.65
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/9/2022,28.25,233,28.8,29.35,242,29.9,3305,35,FALSE,0,28.8,142.16
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/12/2022,29.65,32,30.22,30.8,70,30.1,3315,43,FALSE,0,30.22,144.49
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/13/2022,30.05,102,30.55,31.05,65,30.35,3330,43,FALSE,0,30.55,145.47
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/14/2022,28.7,200,29.22,29.75,279,29,3327,25,FALSE,0,29.22,143.21
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/15/2022,24.75,2,25.02,25.3,1,24.97,3334,231,FALSE,0,25.02,136.5
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/16/2022,23.5,25,24,24.5,74,24,3435,197,FALSE,0,24,134.51
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/19/2022,22.1,1,22.25,22.4,43,22.25,3540,412,FALSE,0,22.25,132.37
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/20/2022,21.95,244,22.55,23.15,399,22.45,3738,90,FALSE,0,22.55,132.3
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/21/2022,23.15,140,23.8,24.45,19,24,3786,158,FALSE,0,23.8,135.45
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/22/2022,21.45,72,22.5,23.55,72,21.4,3861,1204,FALSE,0,22.5,132.23
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/23/2022,21.7,1,21.85,22,1,21.65,4943,1099,FALSE,0,21.85,131.86
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/27/2022,20.55,296,20.85,21.15,205,20.87,5912,171,FALSE,0,20.85,130.03
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/28/2022,18.7,10,18.85,19,1,18.92,5923,805,FALSE,0,18.85,126.04
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/29/2022,20.2,16,20.52,20.85,169,20.4,6396,397,FALSE,0,20.52,129.61
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,12/30/2022,20.1,106,20.6,21.1,131,20.35,6456,144,FALSE,0,20.6,129.93
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/3/2023,17.6,4,17.8,18,46,18,6488,361,FALSE,0,17.8,125.07
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/4/2023,17.65,290,17.92,18.2,97,17.68,6573,59,FALSE,0,17.92,126.36
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/5/2023,17,167,17.35,17.7,264,17.19,6576,445,FALSE,0,17.35,125.02
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/6/2023,18.8,79,19.27,19.75,205,19.1,6741,113,FALSE,0,19.27,129.62
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/9/2023,18.65,441,19.1,19.55,677,19.05,6735,607,FALSE,0,19.1,130.15
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/10/2023,18.85,477,19.15,19.45,95,19,6787,31,FALSE,0,19.15,130.73
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/11/2023,20.1,76,20.72,21.35,148,20.26,6801,75,FALSE,0,20.72,133.49
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/12/2023,19.7,167,20.2,20.7,157,20.2,6772,86,FALSE,0,20.2,133.41
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/13/2023,20.05,317,20.6,21.15,133,20.28,6826,27,FALSE,0,20.6,134.76
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/16/2023,20.05,317,20.6,21.15,133,20.28,6826,0,FALSE,0,20.6,134.76
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/17/2023,21.2,2,21.38,21.55,237,21.01,6834,96,FALSE,0,21.38,135.94
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/18/2023,20.3,217,20.8,21.3,284,20.95,6817,29,FALSE,0,20.8,135.21
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/19/2023,20.4,330,20.85,21.3,90,21.25,6809,1,FALSE,0,20.85,135.27
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/20/2023,21.35,463,21.92,22.5,32,21.93,6810,227,FALSE,0,21.92,137.87
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/23/2023,22.15,251,23.12,24.1,4,23.6,6903,176,FALSE,0,23.12,141.11
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/24/2023,24.15,22,24.48,24.8,32,24.2,6822,27,FALSE,0,24.48,142.53
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/25/2023,23.3,96,23.6,23.9,3,23.55,6801,1090,FALSE,0,23.6,141.86
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/26/2023,23.9,60,24.5,25.1,32,24.65,7458,35,FALSE,0,24.5,143.96
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/27/2023,24.9,258,25.45,26,4,26.13,7467,209,FALSE,0,25.45,145.93
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/30/2023,23.65,161,24,24.35,244,23.95,7394,19,FALSE,0,24,143
AAPL250117C00150000,AAPL,1/17/2025,call,150,9/10/2022,501,1/31/2023,23.1,959,24.4,25.7,918,24.45,7390,56,FALSE,0,24.4,144.29
